Año,Volumenproduccion
2003,2141539.79
2004,1513792.78
2005,1543577.77
2006,1736871.92
2007,1683477.99
2008,1773306.97
2009,1354271.16
2010,1545489.54
2011,1723702.53
2012,1565595.8
2013,1693796.52
2014,1339918.8900000001
2015,1250311.1
2016,1489397.98
2017,1482923.29
2018,1335159.06
2019,1452176.81
2020,1456669.7
2021,1492132.86
2022,1584800.87
2023,1534144.42
2024,1212365.6
2025,1180905.67
2026,1149445.75
2027,1117985.82
2028,1086525.89
