ID_Año,Año,ID_Estado,Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
001,2003,7,Chiapas,21.9,23,24.4,25.3,25.6,24.8,24.6,24.9,24.6,24.3,23.3,21.8,24
002,2004,7,Chiapas,21.9,23,24.7,25.3,25.3,24.9,24.5,24.7,24.4,23.8,22.8,22.4,24
003,2005,7,Chiapas,23,23.5,25,26.3,26.3,25.5,25.3,25.4,25.3,24.7,23.3,23,24.7
004,2006,7,Chiapas,23.7,24.1,25.2,27.3,27.5,26.3,26.3,26.2,26.1,25.4,24,23.3,25.4
005,2007,7,Chiapas,23.1,24.3,25.1,27.1,27.6,25.8,25.5,25.8,25.5,24.3,23.2,22.4,25
006,2008,7,Chiapas,22.5,23.6,24.2,26.4,26.8,25.5,24.6,25.8,25.7,24.6,22.8,22,24.5
007,2009,7,Chiapas,21.5,23.1,23.9,26.4,26.6,26.2,25,25.4,25.6,24.5,23.1,22,24.4
008,2010,7,Chiapas,21.6,23.2,24.2,26.4,27.2,25.9,25.3,24.9,25,23.4,23,21.2,24.3
009,2011,7,Chiapas,22.8,23.2,24.5,24.8,27,25.4,25.3,25.2,25,23.8,22.8,22.1,24.3
010,2012,7,Chiapas,23.3,23.8,24.5,25.2,26.6,25.6,25.3,25.4,25.1,24.8,23.1,22.8,24.6
011,2013,7,Chiapas,23.3,24.3,24.3,26.9,26.9,25.9,25.4,25.3,25,25.1,23.7,22.4,24.9
012,2014,7,Chiapas,21.2,23.9,25.3,26.4,25.8,25.8,25.8,25.9,25.1,24.5,23.1,21.6,24.5
013,2015,7,Chiapas,22,22.7,24.6,27.3,26.9,26.1,25.9,26.5,25.9,25.6,24.8,23.7,25.2
014,2016,7,Chiapas,23.3,23.7,27,28.6,28.9,26.8,26.7,26.8,26.3,26,24.9,24.6,26.1
015,2017,7,Chiapas,23.1,25.1,25.6,26.7,27.9,26.6,26.6,26.7,26.5,25.5,24.4,22.9,25.6
016,2018,7,Chiapas,22.3,24.7,26.2,26.8,27.2,26.1,26.2,25.9,25.9,25.4,24.8,22.4,25.3
017,2019,7,Chiapas,23.1,24.9,25.5,26.7,27.9,26.8,26.4,26.8,26.4,25.8,24.8,23.2,25.7
018,2020,7,Chiapas,24.5,25.3,25.6,27.8,27.3,25.8,26.1,26,25.7,25.1,24.8,22.4,25.5
019,2021,7,Chiapas,23.9,24,25.4,27,26.7,26,26.2,26,25.4,25.4,22.9,23.1,25.2
020,2022,7,Chiapas,22.4,22.9,24.7,26.5,26.6,24.8,25.3,25.3,24.8,24.3,23.9,22.2,24.5
021,2023,7,Chiapas,22.7,23.1,25.2,25.4,26.1,28.2,26.8,27,26.5,26.1,24.9,23.2,25.4
