ID_Año,Año,ID_Estado,Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
001,2004,001,Chiapas,21.9,23,24.7,25.3,25.3,24.9,24.5,24.7,24.4,23.8,22.8,22.4,24
002,2005,001,Chiapas,23,23.5,25,26.3,26.3,25.5,25.3,25.4,25.3,24.7,23.3,23,24.7
003,2006,001,Chiapas,23.7,24.1,25.2,27.3,27.5,26.3,26.3,26.2,26.1,25.4,24,23.3,25.4
004,2007,001,Chiapas,23.1,24.3,25.1,27.1,27.6,25.8,25.5,25.8,25.5,24.3,23.2,22.4,25
005,2008,001,Chiapas,22.5,23.6,24.2,26.4,26.8,25.5,24.6,25.8,25.7,24.6,22.8,22,24.5
006,2009,001,Chiapas,21.5,23.1,23.9,26.4,26.6,26.2,25,25.4,25.6,24.5,23.1,22,24.4
007,2010,001,Chiapas,21.6,23.2,24.2,26.4,27.2,25.9,25.3,24.9,25,23.4,23,21.2,24.3
008,2011,001,Chiapas,22.8,23.2,24.5,24.8,27,25.4,25.3,25.2,25,23.8,22.8,22.1,24.3
009,2012,001,Chiapas,23.3,23.8,24.5,25.2,26.6,25.6,25.3,25.4,25.1,24.8,23.1,22.8,24.6
010,2013,001,Chiapas,59,16.9,15.7,29.6,214.6,339.3,248.4,309.9,394.9,299.5,193.2,157.8,2278.9
011,2014,001,Chiapas,67.3,19.6,37.9,93.6,262.3,348.2,150,225.5,461.7,291.5,80.1,18.5,2056.1
012,2015,001,Chiapas,82.5,31,52.9,80.6,126.9,206.9,134.7,196.5,341.1,247.1,150.3,90.6,1741.1
013,2016,001,Chiapas,33.9,26.6,30,28.9,143.8,281.9,177.8,306.7,314.7,128,91.7,50.2,1614.2
014,2017,001,Chiapas,36.8,8.1,23.1,64,262.3,409.4,254.3,249.2,401.7,228.8,37.9,18.4,1994
015,2018,001,Chiapas,99.6,20,30.1,101.7,165.2,237.8,117.8,257,301,224.9,118.4,31.7,1705.3
016,2019,001,Chiapas,39.8,28.5,34.6,14,200.4,277,142.6,236.5,308.2,359.7,66.5,59.7,1767.4
017,2020,001,Chiapas,28.4,46.9,21,32.4,239.4,409.1,182.5,345.9,373.1,251.8,199.1,38.3,2167.9
018,2021,001,Chiapas,52.1,17,48.7,31.3,230.2,319.2,162.7,299,320.1,227.8,57.5,41.6,1807.2
019,2022,001,Chiapas,74.5,78.3,30.3,84.4,158.4,305.3,196,283,425.7,188.5,152.2,77.5,2054
