FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
70,Polygon,Belisario Domínguez,126,II Valles Zoque,NITISOL,23.935796
71,Polygon,Belisario Domínguez,126,II Valles Zoque,PHAEOZEM,5.691792
72,Polygon,Belisario Domínguez,126,II Valles Zoque,REGOSOL,133.102014
73,Polygon,Belisario Domínguez,126,II Valles Zoque,UMBRISOL,9.7413
74,Polygon,Bella Vista,11,XI Sierra Mariscal,ACRISOL,3.946312
75,Polygon,Bella Vista,11,XI Sierra Mariscal,ANDOSOL,36.046029
76,Polygon,Bella Vista,11,XI Sierra Mariscal,FLUVISOL,0.547928
77,Polygon,Bella Vista,11,XI Sierra Mariscal,LEPTOSOL,8.489521
78,Polygon,Bella Vista,11,XI Sierra Mariscal,LUVISOL,140.678697
79,Polygon,Bella Vista,11,XI Sierra Mariscal,PHAEOZEM,23.878427
80,Polygon,Benemérito de las Américas,114,XIII Maya,ACRISOL,138.552218
81,Polygon,Benemérito de las Américas,114,XIII Maya,CAMBISOL,96.420965
82,Polygon,Benemérito de las Américas,114,XIII Maya,FLUVISOL,73.708278
83,Polygon,Benemérito de las Américas,114,XIII Maya,GLEYSOL,214.754936
84,Polygon,Benemérito de las Américas,114,XIII Maya,LUVISOL,178.91789
85,Polygon,Benemérito de las Américas,114,XIII Maya,No aplica,16.203858
86,Polygon,Benemérito de las Américas,114,XIII Maya,PHAEOZEM,37.444469
87,Polygon,Benemérito de las Américas,114,XIII Maya,UMBRISOL,129.308215
88,Polygon,Benemérito de las Américas,114,XIII Maya,VERTISOL,198.765689
89,Polygon,Berriozábal,12,I Metropolitana,LEPTOSOL,136.480649
90,Polygon,Berriozábal,12,I Metropolitana,LUVISOL,147.639555
91,Polygon,Berriozábal,12,I Metropolitana,No aplica,2.535233
92,Polygon,Berriozábal,12,I Metropolitana,PHAEOZEM,4.601855
93,Polygon,Berriozábal,12,I Metropolitana,PLINTOSOL,2.290159
94,Polygon,Berriozábal,12,I Metropolitana,REGOSOL,11.384427
95,Polygon,Berriozábal,12,I Metropolitana,VERTISOL,46.768252
96,Polygon,Bochil,13,VII De Los Bosques,FLUVISOL,2.795168
97,Polygon,Bochil,13,VII De Los Bosques,LEPTOSOL,162.537948
98,Polygon,Bochil,13,VII De Los Bosques,LUVISOL,74.89218
99,Polygon,Bochil,13,VII De Los Bosques,No aplica,0.621213
100,Polygon,Bochil,13,VII De Los Bosques,PHAEOZEM,52.658612
101,Polygon,Bochil,13,VII De Los Bosques,REGOSOL,71.408559
102,Polygon,Cacahoatán,15,X Soconusco,ANDOSOL,98.330969
103,Polygon,Cacahoatán,15,X Soconusco,CAMBISOL,51.719029
104,Polygon,Cacahoatán,15,X Soconusco,FLUVISOL,0.149457
105,Polygon,Cacahoatán,15,X Soconusco,LUVISOL,19.085985
106,Polygon,Cacahoatán,15,X Soconusco,No aplica,1.310361
107,Polygon,Cacahoatán,15,X Soconusco,REGOSOL,2.81811
108,Polygon,Capitán Luis Ángel Vidal,120,XI Sierra Mariscal,ACRISOL,5.262781
109,Polygon,Capitán Luis Ángel Vidal,120,XI Sierra Mariscal,CAMBISOL,129.10187
110,Polygon,Capitán Luis Ángel Vidal,120,XI Sierra Mariscal,LEPTOSOL,90.87567
111,Polygon,Catazajá,16,XIII Maya,GLEYSOL,458.558148
112,Polygon,Catazajá,16,XIII Maya,LUVISOL,49.957139
113,Polygon,Catazajá,16,XIII Maya,No aplica,85.137885
114,Polygon,Catazajá,16,XIII Maya,REGOSOL,35.748301
115,Polygon,Chalchihuitán,22,V Altos Tsotsil Tseltal,LEPTOSOL,16.709887
116,Polygon,Chalchihuitán,22,V Altos Tsotsil Tseltal,LUVISOL,35.790564
