FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
346,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,LUVISOL,1260.500165
347,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,No aplica,2.590695
348,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,PHAEOZEM,403.643127
349,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,REGOSOL,22.236614
350,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,UMBRISOL,0.193143
351,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,VERTISOL,103.320047
352,Polygon,Las Rosas,75,XV Meseta Comiteca Tojolabal,LEPTOSOL,115.152044
353,Polygon,Las Rosas,75,XV Meseta Comiteca Tojolabal,LUVISOL,55.303333
354,Polygon,Las Rosas,75,XV Meseta Comiteca Tojolabal,No aplica,2.414338
355,Polygon,Las Rosas,75,XV Meseta Comiteca Tojolabal,PHAEOZEM,0.167262
356,Polygon,Las Rosas,75,XV Meseta Comiteca Tojolabal,VERTISOL,61.610908
357,Polygon,Mapastepec,51,IX Istmo Costa,ARENOSOL,21.997707
358,Polygon,Mapastepec,51,IX Istmo Costa,CAMBISOL,445.230467
