FID,municipio,cvemun,Codigo_Region ,REGION_2,Latitud,Longitud,sup,pobtotal
35,La Grandeza,36,XI ,XI Sierra Mariscal,15.512997,-92.218401,48.6603,7701
36,Huehuetán,37,X,X Soconusco,15.009404,-92.423773,302.959,36333
37,Huixtán,38,V,V Altos Tsotsil Tseltal,16.694277,-92.399634,310.5578,22975
38,Huitiupán,39,VII ,VII De Los Bosques,17.243167,-92.694927,338.8418,27893
39,Huixtla,40,X,X Soconusco,15.096922,-92.546975,396.13,53242
40,La Independencia,41,XV,XV Meseta Comiteca Tojolabal,16.204702,-91.795795,514.0339,46409
41,Ixhuatán,42,VIII,VIII Norte,17.298532,-92.978629,94.2892,11377
42,Ixtacomitán,43,VIII,VIII Norte,17.421398,-93.099023,125.151,10961
43,Ixtapa,44,VII ,VII De Los Bosques,16.817951,-92.896995,278.8573,28999
44,Ixtapangajoya,45,VIII,VIII Norte,17.466873,-92.975591,107.158,6284
45,Jiquipilas,46,II,II Valles Zoque,16.522736,-93.672076,1300.4547,41063
46,Jitotol,47,VII ,VII De Los Bosques,17.089514,-92.874309,235.0689,24966
47,Juárez,48,VIII,VIII Norte,17.699447,-93.193335,742.2137,21807
48,Larráinzar,49,V,V Altos Tsotsil Tseltal,16.924384,-92.776677,148.6775,31259
49,La Libertad,50,XIII,XIII Maya,17.606636,-91.751075,456.4424,5232
50,Mapastepec,51,IX,IX Istmo Costa,15.460938,-92.891666,1218.9919,46130
51,Las Margaritas,52,XV,XV Meseta Comiteca Tojolabal,16.385603,-91.740283,3014.383,141027
52,Mazapa de Madero,53,XI ,XI Sierra Mariscal,15.372766,-92.185764,110.2307,7901
53,Mazatán,54,X,X Soconusco,14.880404,-92.497784,384.0788,28250
54,Metapa,55,X,X Soconusco,14.821664,-92.2016,22.7419,5876
55,Mitontic,56,V,V Altos Tsotsil Tseltal,16.87481,-92.563101,36.5082,13755
56,Motozintla,57,XI ,XI Sierra Mariscal,15.313826,-92.331464,583.9232,76398
57,Nicolás Ruíz,58,IV,IV De Los Llanos,16.4382,-92.61005,29.5056,4765
58,Ocosingo,59,XII,XII Selva Lacandona,16.702094,-91.337499,9580.3317,234661
59,Ocotepec,60,III ,III Mezcalapa,17.220797,-93.173876,61.0906,14088
60,Ocozocoautla de Espinosa,61,II,II Valles Zoque,16.826295,-93.490946,2082.4094,97397
