Año,Volumenproduccion
2003,4059439.1
2004,4464047.4
2005,4486479.45
2006,4037856.55
2007,4095585.03
2008,4331883.28
2009,4373763.25
2010,4577308.29
2011,4867165.68
2012,4782685.84
2013,4850089.46
2014,4785051.34
2015,4703435.48
2016,4874558.41
2017,4891696.62
2018,5065262.9
2019,5307475.33
2020,4774470.81
2021,4480621.53
2022,5310784.149999999
2023,5082226.4799999995
2024,4713296.48
2025,4714229.71
2026,4715162.93
2027,4716096.16
2028,4717029.39
